Affiliate_id,Count,Name,Overall_percentile
8008,3,Jill Joseph,76.1386
15397,1,Prudence Daniels,0.7569
4568,15,Imogen Winter,72.1598
16635,9,Roberta Hayama,91.0965
1783,28,Afton Delvecchio,95.638
18688,16,Lacey Bouton,95.6941
756,12,Ximena Choy,90.596
14230,6,Maria Júlia Moraes Oses Zogbi,75.8503
20452,13,Anna Oberman,95.0624
14806,2,Cassy Douglas,59.2776
18844,16,Roisin Knapp,8.6342
18739,1,Kamyla Maciel,82.0265
5201,13,Stacey Kroon,99.477
4368,20,Danielle Hale,99.4235
8430,1,Sawa Gawlau,93.0954
11862,28,Alissa Friese,93.9663
18220,1,Tiffaney Rasmussen,5.2328
20365,9,Leslie McMillan,9.9305
8948,17,Stacie Halverson,88.6342
9999,2,Maria Linda Burola,83.6888
4047,12,Caroline LeMay,77.8932
4746,8,Tammy Ok Wilson,91.6083
20686,1,Nicole Pattel,20.567
14707,10,Carrie Dudley,99.9499
3220,24,Kristin Miller,99.962
14856,3,Diana Ravensbergen,92.3411
15891,4,Sarahbeth Andersen,8.9535
20359,1,Paola Cerrone,60.3262
6755,20,Lisa Menne,97.7336
2585,13,Jamie Banks,92.0183
244,11,Carla Neilly,95.5845
4023,19,Karime Ferrari,99.7394
841,17,Rosalina Rangel,91.7525
5005,12,Sequoia Barrera,99.6936
2439,9,Erin Koonz,96.1697
851,11,Megan Shagott,98.292
14115,4,Emma Grund,77.1985
10727,19,Emilie Robert,77.1475
18453,13,Ceri Davies,82.3027
6080,13,Sarah Macdonald,83.7147
11959,8,Nienke Wiltink,71.0206
6501,6,Kristan Etheridge,7.4009
14833,2,Jena Gardone,97.699
9714,15,Lauren Herman,87.5381
11458,7,Lisa Marie Babayan,70.6633
18666,4,Bonato Camille,97.9994
20443,4,Laëtitia Briffod,66.0398
14502,10,Marian del Valle Martinez,87.5027
15348,9,Hallgerdur María Fridriksdóttir,98.6942
7441,20,Marjolein Smits,77.1389
6715,6,Allison Roman,97.3227
4595,14,Michele Smeh,87.5657
15879,20,Weitzu Hung,87.5277
3992,16,Jennifer Correia,84.8125
1396,7,Jennifer Guimond,98.443
19707,2,Yini Wang,52.7519
18803,1,Sanghee Ha,54.5937
3737,24,Michela Greco,99.8118
19742,14,Brigid Freitag,92.4982
3991,15,Alice Hogan,94.2977
1770,30,Kim Perry,96.2784
2038,3,Julie McDermed,9.3678
14618,12,Katie Sharp,89.9789
1379,17,Sydney Hirst,91.7162
10668,18,Rachel Plews,73.1998
3771,11,Jonna Albrektsson,97.5109
19320,4,Aurore Cottron,86.3022
1857,2,Rachel Prados,82.0904
19066,4,Dayane Bion,70.6054
4285,9,Danielle Rabkin,97.523
15671,23,Helen Vasconcelos,95.9082
16885,10,Christee Bishop,99.7989
17419,1,Sabrina Joubert,69.8658
16618,2,Dunia Stancanelli,59.1714
16868,9,Morgan Pelanda,88.9647
2540,10,Cynthia Truax,91.894
9697,2,Tia Loftsgård,62.0032
15005,19,Courtney Bothwell,98.2229
1554,5,Jessica Downs,82.7627
20083,5,Amanda Dias,97.0854
16313,5,Mellissa Barton,9.4688
19981,17,Pujol Lauriane,84.8686
17547,2,Christy Stanley,8.5272
13514,18,Elyshia Tzakis,91.7274
