Affiliate_id,Count,Name,Overall_percentile
15043,7,Peter Zwaans,69.624
19975,11,Eric Oden,89.3683
17817,15,Matt Walker,91.8714
14042,1,Abian Cabrera,84.1665
7576,22,Jess Williard,98.7229
9135,25,Jj Papielion,98.3019
6356,5,Alex Kotoulas,99.8889
5088,45,Kevin O'Donnell,98.4566
17828,1,Joshua Mondragon,1.0421
14570,10,Danila Shokhin,99.2456
3360,3,Mark Phillips Jr.,92.2686
1331,36,Travis Soto,90.8262
13478,32,Forest Jacober,97.1104
17587,23,Andre Crews,98.0047
18743,13,Mike Miles,88.54
18738,31,Simon Abela,92.5317
14880,1,Drew Gretel,47.1335
20911,1,Andy Smith,78.2188
3199,13,Eric Jacobs,93.182
793,76,Kyle Kleinschmidt,99.7783
13774,22,Devank Sriram,9.8857
9482,14,Russell Cote,94.2479
13311,4,Israel Muñoz,7.9218
5965,10,Randy Parisi,94.0491
15081,4,Julio Menzel,7.5597
2390,17,Rick Klieber,79.6192
6918,10,Joshua Wichtrup,99.908
5137,29,Joe Schillaci,99.0143
15478,2,Matteo Spier,80.8952
4499,1,Matthew Mooney,94.0932
18214,25,Raffael Inglin,94.5489
7990,15,Diego Marcelino de Araujo,76.4702
3232,22,Justin Miles,89.8819
8219,23,Will Bennett,99.9038
20387,9,Pavlo Stryzhak,96.4416
3209,8,Anthony Corral,86.1337
18392,16,Jordan Wilson,89.4481
18965,6,Ryan Loshaw,97.1583
13875,10,Drew Van Alyne,8.8612
15199,4,Kerman Castro,83.8523
17086,13,Roger Del Retiro Ramos,74.4222
14024,8,Andrew Sokolowski,98.2136
12413,6,Isaac Carrillo,95.0927
15801,3,Yannick Labens,94.9933
13048,12,Sangwon Ko,98.7926
15771,19,Estevao Baptista,78.8908
4372,17,Joss Goer,8.2945
11963,15,Jared Reid,96.8781
16177,6,Oliver Hovav,77.3565
1483,54,Gary Jones,99.8958
14036,6,Phelippe Machado,8.6236
19851,1,Hernan Bravo,33.8021
18912,8,James Range,95.7483
12788,4,Akid MdNajMuddin,85.0433
7379,11,George Hernandez,77.9035
5321,9,Justin Saxon,92.6428
19591,2,Luca Bonuccelli,76.2224
4400,13,Guillaume Gardoni,91.6125
11450,7,Tony Hatch,7.2003
18471,10,Dani Redondo,96.7499
10074,5,Alessandro Noro,54.2158
4036,11,Tyler LaBarre,93.6727
14029,25,Chase Hill,99.4944
6017,14,Joshua Pagliaroli,93.4908
16820,40,Marquan Jones,99.9187
1752,22,Austin Cooper,98.2928
13279,5,Christopher Yandle,83.4004
15089,31,Sergey Yakimov,93.0262
14252,23,Alan Ravay,97.0424
6827,59,tim shue,94.4101
12776,16,Samuel Wright,99.1488
11187,12,Christian Grezla,95.2618
8866,29,Gregorio Menza,91.3238
13027,2,Ronald Stenger,50.7281
20043,4,Johnny Yaacoub,93.0995
20696,4,Alvaro Junior,89.0669
11832,19,Kirk Mcdonald,96.852
9663,21,Dustin Holm,94.9673
18120,6,Trent Luecke,94.4983
18381,12,Carsten Willemsen,9.3376
12015,20,Steven Horita,81.8538
3124,22,Forrest Martinez,93.5435
1812,15,Ryan Fitzpatrick,96.6845
5780,9,Martin Lefebvre,85.6834
16095,22,Jeffrey Hajner,99.8134
8460,6,Eric Hicks,87.6085
3325,13,Mason Doherty,99.8527
13403,3,Marco Wissner,80.6895
2571,27,Josh Ruff,98.4529
16621,19,Brian Capone,93.6142
12906,12,Dwight Holloway,97.6176
1805,13,Aaron Ryan,84.4451
20579,9,Saul Rosario,91.0574
14178,17,Garrett Jenkins,97.7532
18548,22,Andrew Tovo,91.3424
6950,14,Adam Holman,96.9855
13536,2,Alexander Speelman,4.7967
13448,25,David Feinberg,91.1606
17793,4,Andrew Vineyard,89.0626
5327,5,Ruan Potgieter,96.7069
4926,23,David Folmer,92.8023
3037,27,Mark Olson,93.0719
12197,12,Morgan Boitelle,84.4196
13482,7,Tiago Groba,93.3893
13833,12,Kolby Green,89.5629
4767,4,Anthony Baker,36.0622
13303,12,Or Ohana,95.3208
17997,12,David Wilson,92.0857
15694,8,Nahuel Boulanger,89.4981
19165,15,Brett Wardley,92.2457
11459,1,Nikos Theodosis,2.5222
20704,32,Petr Nasonov,98.2226
19970,20,Eliezer Dumas,97.4236
17685,14,Chiyon Ryu,92.1824
964,34,Steven St-Cyr,98.2476
18470,16,Kelly Rose,92.8513
3834,32,Christoph Büeler,98.9787
18930,4,Krzysztof Markuszewski,87.5761
6312,20,Colin Sievers,97.557
20640,7,Andrew Irvine,97.7367
13016,24,Marco Tabanelli,97.7665
29,27,Francisco Lara,97.2976
15843,25,Balazs Farkas,97.7362
8941,16,Pascal Mühleder,96.3868
5070,22,Christopher Gibbs,96.5697
7531,11,Tyler Stallons,92.1027
17324,15,Ant Oxley,84.2335
12903,11,Ben White,98.6703
3828,58,Nathan Isham,96.0944
2225,21,Andrew Butters,96.3427
18656,11,Dennis Hildebrandt,98.8995
626,13,Craig Punton,98.019
15342,38,Aaron Hanna,99.9474
12077,6,Rick Vincenten,6.1014
10563,26,Hendrik Senf,99.5529
3721,15,Kyler Harris,98.8022
16448,1,Anqi Wu,8.6794
19740,7,Felipe Castro,79.2433
2554,11,Keven Vaillancourt,79.4358
5306,16,Jasond Calderon,89.1402
3939,2,Tony Rissley,86.1241
8673,23,Shane Reilly,76.9827
16194,4,Tobias Karlsson,64.889
18980,20,Raymond Mark,98.2641
9833,18,Dijar Ismail,94.51
15576,7,Jd Hoppes,78.1816
3756,8,Luis Larrea,90.5369
12009,52,Christopher Pasell,98.8181
16122,23,Eduardo Silva,98.7591
16719,8,Jared Hagar,86.3118
7124,16,Andre Stickney,9.269
19590,16,Paulo Barbosa,94.8748
1184,16,Brian Maier,98.2918
14363,6,Troy Mcgarrity,86.3682
14987,14,Rocko Weaver,89.5034
8259,26,Dallas Burford,96.7893
20069,1,Bennett Roberson,55.8422
14676,6,Joshua Circuitt,81.1153
3636,19,Ryan Crabtree,96.4692
274,16,Alex MacAulay,80.2333
8277,29,Ryan Sowder,99.9436
7443,16,Jeffrey Neyhart,99.2546
16355,9,Tyler Ross,94.1427
2360,34,Yasuhiro Uchibori,99.5832
18235,10,Alex Peterson,73.8969
7480,16,Mikah McCudden,88.0429
9489,21,Anthony Morisi,94.3729
5193,7,Kacey Comer,61.531
7486,5,Greg Cote,54.6438
11542,22,Bryan Nudelman,9.4227
18285,1,Thomas Barnett,14.3017
9002,6,Martin Ward,70.8112
125,2,Daniel Zeplain,48.4127
12490,12,Nik Villa,9.2302
16666,20,Geoffrey Smith,97.3502
8811,9,Taylor Evans,75.4212
14635,14,Agustin Richelme,99.841
19203,9,Moy Gutierrez,74.3499
705,25,Tyler Hudgins,93.4223
9483,13,Carlos Lizarraga,86.6457
16952,18,Christoffer Porsgaard,94.1544
2331,15,Cory Vogt,87.9004
7507,1,Diego Payá,10.8263
16705,9,Ady Santos,97.4379
8008,9,Cesar Urquilla,91.142
4568,22,Nicholas Watson,8.9638
2487,18,Spencer Kalman,91.9533
1783,34,Jared Enderton,99.9389
16237,3,Jung Hun,92.7072
18688,13,Angelo Archuleta,90.5667
756,11,Winnie Cornejo,90.7464
14230,13,Hugo Futagawa,82.1361
15173,35,Felipe Gonçalves,98.1429
14806,3,Rick Seibold,77.5484
18844,11,Alejandro Rivera,8.7182
18739,1,Rodrigo Rodrigues,87.0423
5201,21,Samuel Henry,94.3644
4368,27,Albert Plaxton,97.2354
8430,15,Piotr Szczycinski,99.9585
11862,34,Matthew Evans,98.5624
18220,2,Michael Shade,95.1103
20365,4,Ethan Griffith,68.9227
8948,12,Nathan Graves,95.2368
16131,5,Nick Le Roux,87.6819
4047,12,Scott Cavagnaro,94.2867
4746,13,Scott Hildebrandt,81.8597
20686,2,Kurt Morris,71.1902
14707,5,Elijah Christie,95.6489
3220,43,Richard Froning Jr.,99.9952
14856,3,Timothy Bassell,81.2094
15828,3,Eyan Pope,52.6378
6755,17,Ben McCausland,94.6616
2585,14,Kyle Richmond,97.037
244,18,Allen Lemieux,88.7186
19939,25,Gousseau Kevin,97.9818
4023,44,Tarcio Santos Ferreira,99.2084
5005,16,Richard Barrera,93.3632
2439,11,Kyle Stark,97.3959
851,25,Brandon Russell,91.1893
14115,10,Filip Jurkic,74.888
10727,32,Hugo Aubry,93.5679
21084,3,Wook-hyun Lee,95.8908
18453,19,Thomas Kaunga,69.4926
6080,14,Cameron MacKinnon,77.2804
8407,5,Jaap Sijtsema,47.4733
19613,9,Joe Ombrello,95.3777
6501,6,Pat Watts,51.4549
2193,7,Gary Roberts,92.788
9714,11,Kiel Schuett,9.2961
11458,8,Kyle Cook,98.5879
8521,11,Ian Honhart,94.1076
20443,5,Michael Tufi,89.8718
14502,39,Ramón Urias,88.717
15348,8,Christian Søgaard,95.2411
7441,19,Orlando Callender,94.257
6715,12,Allan Donato,96.6388
4595,8,Marc Amormino,87.4065
19800,1,Alexander Claeys,69.5745
15879,24,Hsu Wen-hao,91.6603
15203,7,Derek McEwen,96.2055
1396,19,Angelo-Nicola Saran,99.605
19707,4,Haixing Zhang,39.9646
18803,6,Jaehwan Kim,98.4667
3737,35,Eamonn Monks,97.7675
5985,2,Jason Burns,91.218
3991,27,Chris Baker,79.901
1770,19,Benny Putt,96.9094
2038,5,Adam Sherrill,96.8058
14618,22,Mark Schumacher,93.9534
1379,17,Dakota Dotson,98.8755
10668,28,Reggie Fasa,99.6411
3771,9,Henrik Thorsen,94.8663
19320,11,Aurèle Martin,93.2154
1857,8,Micah Ashburn,99.1307
19066,11,Felipe Haase,72.127
19690,9,Rick Read,91.1845
15671,34,Joao Pedro,93.0129
16433,11,Touatekina Teremu,99.2248
16885,10,Timothy Harris,96.0838
20741,2,Hugo Geiger,37.738
17419,2,Jerome Diaz,72.5545
16618,2,Johnny Lima,83.1138
16868,9,Chase Pope,87.9222
19969,1,Bahodur Kamilov,66.3819
15005,17,Paul Studdard,96.616
1554,7,Barrett Lewis,92.7284
20083,19,João Henrique Rodrigues,9.1855
10931,4,Charles Augustine,84.2819
16313,3,Aaron Singer,57.6653
13975,35,Ewan Campbell,95.1512
19981,38,Yannick Sainctavit,97.3289
18242,3,Blackwell Johnson,38.4201
5568,10,Ben Bond,92.5099
