,Name,Division,OverallScore,Rank,Wk1_Score,Wk1_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
17989,Moises Sevilla,I-Men,38681,6103,101,12397,60,8355,310,4514,244,6298,94,7117
13202,Anthony Ciambrone,I-Men,38705,6104,106,8256,63,5697,293,6251,211,14817,104,3684
19383,Ed Busch,I-Men,38708,6105,106,8256,60,8355,243,13384,246,5029,104,3684
26587,Dan Brower,I-Men,38709,6106,110,5888,74,1461,294,6172,205,15304,86,9884
3320,Taylor Williams,I-Men,38721,6107,123,1289,60,8355,303,5262,246,5029,58,18786
30039,Colby Miser,I-Men,38721,6107,100,13376,71,2243,293,6251,234,13167,104,3684
9542,Frank Shirvinski,I-Men,38752,6109,103,10636,63,5697,303,5262,240,9487,92,7670
65391,Russell Carr,I-Men,38755,6110,106,8256,63,5697,312,4308,240,9487,83,11007
8399,David Trotter,I-Men,38757,6111,117,2849,46,19713,340,2457,240,9487,102,4251
15397,Paolo Corso,I-Men,38758,6112,105,8971,60,8355,276,8322,241,8479,101,4631
21718,Matthew Anderson,I-Men,38761,6113,102,11497,61,7203,270,9432,249,3512,94,7117
24005,Jason Adams,I-Men,38762,6114,97,15652,75,1247,287,6966,241,8479,96,6418
16420,Drew Shempp,I-Men,38770,6115,102,11497,62,6415,303,5262,241,8479,94,7117
34034,Craig Woolham,I-Men,38776,6116,118,2545,53,16605,302,5529,243,6980,94,7117
64133,Rafael Arceo,I-Men,38785,6117,89,22183,78,792,288,6732,247,4447,101,4631
12342,Kenny Trimble,I-Men,38788,6118,99,14473,70,2553,289,6630,242,7711,93,7421
3218,Michael Elliott,I-Men,38793,6119,102,11497,62,6415,296,5980,243,6980,91,7921
21881,David Bradford,I-Men,38799,6120,86,24116,75,1247,284,7291,256,1171,100,4974
53090,Brian Cohee,I-Men,38817,6121,106,8256,58,14372,311,4398,244,6298,99,5493
52219,Daniel Morchat,I-Men,38823,6122,110,5888,63,5697,204,19868,246,5029,111,2341
48940,Joey Chapa,I-Men,38823,6122,113,4399,57,14755,252,12021,250,3017,101,4631
56619,Carl Grace,I-Men,38832,6124,105,8971,66,4082,263,10550,243,6980,90,8249
58220,Ionel Mierla,I-Men,38839,6125,105,8971,60,8355,323,3520,246,5029,78,12964
29614,Daniel Drakulich,I-Men,38840,6126,102,11497,62,6415,285,7190,240,9487,102,4251
23188,Chuck Bowman,I-Men,38842,6127,105,8971,64,5084,267,9874,246,5029,86,9884
40012,Rob McCandless,I-Men,38842,6127,108,7025,61,7203,293,6251,241,8479,86,9884
57425,Tim Bransdon,I-Men,38844,6129,108,7025,62,6415,267,9874,244,6298,88,9232
23360,Anthony St-Martin,I-Men,38854,6130,124,1115,55,15680,267,9874,248,3936,90,8249
38413,Angel Otero,I-Men,38858,6131,106,8256,63,5697,277,8177,241,8479,90,8249
37555,Bryan Gasparro,I-Men,38863,6132,95,17102,60,8355,298,5802,247,4447,106,3157
39192,timothy welsh,I-Men,38866,6133,99,14473,68,3235,315,4001,240,9487,92,7670
7621,jamie izzo,I-Men,38866,6133,110,5888,60,8355,249,12591,245,5614,96,6418
20505,Craig Smith,I-Men,38875,6135,105,8971,64,5084,294,6172,226,13674,100,4974
26390,Scott Garry,I-Men,38879,6136,105,8971,60,8355,273,8857,247,4447,90,8249
12604,David Castellanos,I-Men,38889,6137,111,5359,60,8355,277,8177,213,14657,111,2341
56164,Ashley Faulkner,I-Men,38894,6138,101,12397,70,2553,303,5262,209,14998,104,3684
2572,David Collie,I-Men,38894,6138,117,2849,50,18026,287,6966,248,3936,94,7117
64306,Luke McIntosh,I-Men,38898,6140,101,12397,60,8355,274,8672,243,6980,110,2494
32300,Jeremy Mullins,I-Men,38913,6141,86,24116,81,448,315,4001,243,6980,105,3368
64078,Joe Moyer,I-Men,38913,6141,101,12397,64,5084,276,8322,241,8479,101,4631
44017,Justin Wofford,I-Men,38917,6143,104,9828,60,8355,294,6172,241,8479,97,6083
26008,Emmanuel Jolin,I-Men,38922,6144,104,9828,60,8355,267,9874,247,4447,96,6418
55053,Jeremy Cope,I-Men,38923,6145,106,8256,45,20147,325,3303,247,4447,108,2770
11040,Daniel Lawson,I-Men,38934,6146,103,10636,60,8355,295,6080,245,5614,90,8249
14939,Bern Prince,I-Men,38937,6147,100,13376,65,4529,243,13384,250,3017,101,4631
3440,Justin Plummer,I-Men,38941,6148,91,20344,70,2553,287,6966,247,4447,101,4631
45445,Brandon Peyton,I-Men,38942,6149,104,9828,60,8355,316,3935,246,5029,81,11795
51465,Roberto Cruz,I-Men,38958,6150,106,8256,60,8355,267,9874,243,6980,99,5493
35580,Tom Roach,I-Men,38959,6151,102,11497,69,2910,313,4224,233,13211,94,7117
63063,Paul Hebbler,I-Men,38966,6152,103,10636,60,8355,326,3247,241,8479,90,8249
18472,James Wozniak,I-Men,38978,6153,129,482,60,8355,276,8322,181,17568,102,4251
21299,Jim Tuthill,I-Men,38980,6154,104,9828,61,7203,275,8493,242,7711,98,5745
6361,Neil Pugsley,I-Men,38985,6155,105,8971,60,8355,306,4931,241,8479,90,8249
25774,Matt Leggett,I-Men,38996,6156,110,5888,60,8355,248,12721,245,5614,96,6418
27234,adam brown,I-Men,39011,6157,113,4399,56,15225,292,6352,245,5614,93,7421
4486,Abel lara,I-Men,39032,6158,127,677,55,15680,246,13015,246,5029,101,4631
23134,Jeremy Clark,I-Men,39033,6159,104,9828,60,8355,288,6732,240,9487,101,4631
16917,Aaron O'Neil,I-Men,39040,6160,107,7645,60,8355,275,8493,244,6298,90,8249
42696,Gary Boden,I-Men,39041,6161,98,15023,66,4082,286,7081,240,9487,105,3368
18947,Rick RANDOLPH,I-Men,39042,6162,102,11497,62,6415,280,7715,244,6298,94,7117
41912,Jeff Hunt,I-Men,39051,6163,103,10636,62,6415,271,9275,243,6980,98,5745
60615,Logan Barton,I-Men,39056,6164,130,396,49,18518,283,7411,245,5614,94,7117
12918,Tyson Waneka,I-Men,39056,6164,94,17917,77,916,293,6251,241,8479,99,5493
4783,John Kedzierski,I-Men,39056,6164,106,8256,61,7203,259,11068,250,3017,87,9512
3975,Joshua Duran,I-Men,39059,6167,110,5888,60,8355,254,11752,244,6298,95,6766
